,df,Plant type,Treatment,Dose ,sample,group,apH_beforefertilization,apH_First 7th,bHeight_First,cStem_First,dFresh biomass_Firstclip,dDry biomass_firstclip,dFresh biomass_Secondclip,dDry biomass_Secondclip,epH_before_Secondfertilization,fEC_Second,gHeight_Second,hStem_Second,iCholorophyll_Second,jAmmonia_Second Lechates_Before first fertilization ,kNitrate_Second Lechates_Before first fertilization ,lPhosphate_Second Lechates_Before first fertilization ,pH Harvest day,EC harvest day,Root Length (cm),Nodules Count,Shoot Biomass_harvestday Fresh ,Shoot Biomass_harvestday dry ,Root Biomass_harvestday,Root Biomass_harvestday dry ,Harvest day_Ammonium lechates (mg N/L) ,Chlorphyll data,Si   (%),Na _(ppm),Mg_ (ppm),Al_(ppm),P_(ppm),K_(ppm),Ca_(ppm),Fe_(ppm),Cl_(ppm),SiO2_(%),Ag_(cps)   ,Cu_(ppm),Mn_(ppm),S_(ppm),Zn_(ppm),Roots ,Si   (%),Na _(ppm),Mg_ (ppm),P_(ppm),K_(ppm),Ca_(ppm),Fe_(ppm),Cl_(ppm),SiO2_(%),Ag_(cps)   ,Cu_(ppm),Mn_(ppm),S_(ppm),Zn_(ppm),Al_(ppm)_Root,Si   (%),Na _(ppm),Mg_ (ppm),Al_(ppm),P_(ppm),K_(ppm),Ca_(ppm),Fe_(ppm),Cl_(ppm),SiO2_(%),Ag_(cps)   ,Cu_(ppm),Mn_(ppm),S_(ppm),Zn_(ppm)
1,A,L,1,UF_100 ,aAUF100_1,aAUF100,5.35,5.4,8.9,8,13.73,4.38,14.73,4.37,4.62,0.56,40.5,18,56.3,43.572,92.2076,0.071,5.18,0.55,30,0,40.87,29.2,9.36,7.04,4.447,56.3,0.148,2366,1284,-112,2671,32253,8555,-401,17717,0.32,352.635,4,471,1849,130,,0.23,1312,1488,5373,17511,2549,73,10146,0.49,320.018,7,213,3281,180,72,0.23,1312,1488,72,5373,17511,2549,73,10146,0.49,320.018,7,213,3281,180
2,A,L,1,UF_100 ,aAUF100_2,aAUF100,5.49,5.42,22,6,14,4.41,14.67,4.35,4.9,0.62,48.6,20,54,83.162,91.7902,0.084,4.47,0.66,31,0,44.3,29.62,11.73,6.81,4.5318,54,0.196,2868,1184,-116,2970,33087,10898,-419,21362,0.42,338.362,5,518,2047,141,,0.221,880,1560,4217,13866,3015,0,6773,0.47,460.084,7,257,3182,144,104,0.221,880,1560,104,4217,13866,3015,0,6773,0.47,460.084,7,257,3182,144
3,A,L,1,UF_100 ,aAUF100_3,aAUF100,5.54,5.46,21.6,7,15,4.43,15.14,4.22,4.85,0.78,41.6,17,52.4,34.821,49.6116,0.126,4.81,0.79,32,0,40.94,28,10.36,5.29,2.3844,52.4,0.301,2928,1032,-52,2507,31959,8919,-300,22554,0.64,272.69,4,440,1919,130,,0.267,2256,1097,4169,21125,2332,61,17016,0.57,406.856,7,236,3433,159,43,0.267,2256,1097,43,4169,21125,2332,61,17016,0.57,406.856,7,236,3433,159
4,A,L,1,UF_100 ,aAUF100_4,aAUF100,5.43,5.38,17,8,17.5,4.4,17.43,4.21,4.94,0.8,45.9,18,50,83.285,34.8131,0.09,5.12,0.82,27,0,43.44,28.8,10.84,6.08,16.7451,50,0.198,3464,954,-96,2768,32410,10657,-441,24843,0.42,410.102,5,527,2384,157,,0.264,1404,1466,4369,14612,2228,-17,10769,0.56,408.447,7,229,3080,156,120,0.264,1404,1466,120,4369,14612,2228,-17,10769,0.56,408.447,7,229,3080,156
5,A,L,2,UF_100 ,aAUF100_5,aAUF100,5.48,5.42,15.8,7,15.1,4.23,15.1,4.19,4.88,0.93,50.6,17,53.2,39.012,54.3029,0.658,4.43,0.95,0,0,41.95,28.69,14.02,6.4,5.3717,53.2,0.207,1091,1360,89,973,12753,4189,-263,12455,0.44,243.945,3,315,-52,115,,2.313,1301,1346,2447,14551,2457,667,12099,4.95,406.98,7,457,1687,209,476,2.313,1301,1346,476,2447,14551,2457,667,12099,4.95,406.98,7,457,1687,209
6,A,L,2,UF_200,bAUF200_1,bAUF200,5.52,4.64,24.6,4,10,4.3,6.9,4.2,4.98,0.79,40.2,1,53.7,83.979,57.2914,1.684,5.07,0.8,0,0,5.229,4.81,0,0,213.4706,53.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,A,L,2,UF_200,bAUF200_2,bAUF200,5.54,4.8,19.4,6,11,4.3,5.86,4.21,4.81,0.65,21.5,4,47.3,33.541,59.1224,0.27,4.72,0.66,0,0,5.14,4.76,0,0,201.4718,47.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,A,L,2,UF_200,bAUF200_3,bAUF200,5.56,4.78,17,6,12,4.29,10.77,4.23,4.87,0.58,29,11,46.8,83.535,62.1296,0.203,4.68,0.69,0,0,6.03,5.35,0,0,143.749,46.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,A,L,2,UF_200,bAUF200_4,bAUF200,5.58,5.2,12.3,7,8,4.47,0,4.29,4.64,0.6,0,0,0,36.566,91.4085,3.166,4.35,0.62,27,0,4.75,4.41,0,0,19.5068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,A,L,2,UF_200,bAUF200_5,bAUF200,5.6,5.3,16.4,6,17.24,4.47,18.14,4.14,4.74,0.72,47.2,12,50.9,83.162,91.456,0.407,4.93,0.75,28,0,6.03,5.28,0,0,0.267,50.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
